Time Code,Frame Number,Latitude,Longitude,Altitude,Distance,Speed
"00:00:03,303 --> 00:00:03,336",100,9.365112,80.089104,200.077,0.009450399317408067,10.198272644684964
"00:00:03,336 --> 00:00:03,370",101,9.365112,80.089104,200.077,0.009450399317408067,10.09538206013918
"00:00:03,370 --> 00:00:03,403",102,9.365108,80.08911,200.097,0.010233895691904358,10.826336905922918
"00:00:03,403 --> 00:00:03,436",103,9.365108,80.08911,200.097,0.010233895691904358,10.722358699317722
"00:00:03,436 --> 00:00:03,470",104,9.365108,80.08911,200.097,0.010233895691904358,10.617298124165906
"00:00:03,470 --> 00:00:03,503",105,9.365104,80.089115,200.091,0.010938376698750052,11.24126637610625
"00:00:03,503 --> 00:00:03,536",106,9.365104,80.089115,200.091,0.010938376698750052,11.13635636750571
"00:00:03,536 --> 00:00:03,570",107,9.365104,80.089115,200.091,0.010938376698750052,11.030295830672323
"00:00:03,570 --> 00:00:03,603",108,9.3651,80.089121,200.110,0.01172394332092264,11.714181503003472
"00:00:03,603 --> 00:00:03,636",109,9.3651,80.089121,200.110,0.01172394332092264,11.607864674180831
"00:00:03,636 --> 00:00:03,670",110,9.3651,80.089121,200.110,0.01172394332092264,11.500325873384606
"00:00:03,670 --> 00:00:03,703",111,9.365096,80.089126,200.106,0.012429066222279735,12.083348204214703
"00:00:03,703 --> 00:00:03,737",112,9.365096,80.089126,200.106,0.012429066222279735,11.973411399573735
"00:00:03,737 --> 00:00:03,770",113,9.365096,80.089126,200.106,0.012429066222279735,11.868604350187546
"00:00:03,770 --> 00:00:03,803",114,9.365092,80.089132,200.123,0.013216074980589266,12.510615285332989
"00:00:03,803 --> 00:00:03,837",115,9.365092,80.089132,200.123,0.013216074980589266,12.399757604931288
"00:00:03,837 --> 00:00:03,870",116,9.365092,80.089132,200.123,0.013216074980589266,12.294023237757456
"00:00:03,870 --> 00:00:03,903",117,9.365088,80.089137,200.116,0.013921596696117316,12.840827083275004
"00:00:03,903 --> 00:00:03,937",118,9.365088,80.089137,200.116,0.013921596696117316,12.729933478796632
"00:00:03,937 --> 00:00:03,970",119,9.365088,80.089137,200.116,0.013921596696117316,12.62411791083686
"00:00:03,970 --> 00:00:04,004",120,9.365083,80.089143,200.124,0.014783022317517656,13.291428657108781
"00:00:04,004 --> 00:00:04,037",121,9.365083,80.089143,200.124,0.014783022317517656,13.18277937653296
"00:00:04,037 --> 00:00:04,070",122,9.365083,80.089143,200.124,0.014783022317517656,13.075891976182692
"00:00:04,070 --> 00:00:04,104",123,9.365078,80.08915,200.109,0.015726965768559732,13.795584007508538
"00:00:04,104 --> 00:00:04,137",124,9.365078,80.08915,200.109,0.015726965768559732,13.685539465026599
"00:00:04,137 --> 00:00:04,170",125,9.365078,80.08915,200.109,0.015726965768559732,13.577236634727827
"00:00:04,170 --> 00:00:04,204",126,9.365073,80.089156,200.117,0.01658850615857772,14.205190811341529
"00:00:04,204 --> 00:00:04,237",127,9.365073,80.089156,200.117,0.01658850615857772,14.094553261949443
"00:00:04,237 --> 00:00:04,270",128,9.365073,80.089156,200.117,0.01658850615857772,13.985625801142808
"00:00:04,270 --> 00:00:04,304",129,9.365069,80.089163,200.102,0.017460547113069047,14.604546841786377
"00:00:04,304 --> 00:00:04,337",130,9.365069,80.089163,200.102,0.017460547113069047,14.493421629478572
"00:00:04,337 --> 00:00:04,371",131,9.365069,80.089163,200.102,0.017460547113069047,14.380683964092556
"00:00:04,371 --> 00:00:04,404",132,9.365064,80.089169,200.109,0.0183221815519563,14.977260124214961
"00:00:04,404 --> 00:00:04,437",133,9.365064,80.089169,200.109,0.0183221815519563,14.865867384954402
"00:00:04,437 --> 00:00:04,471",134,9.365064,80.089169,200.109,0.0183221815519563,14.752818963776042
